,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127
01353-WDAF-Loren_Halifax,-0.0688147246837616,0.11468422412872314,0.16631555557250977,-0.1463085561990738,-0.21581870317459106,-0.022454995661973953,-0.047371722757816315,-0.07053988426923752,0.1312808096408844,-0.11149528622627258,0.15792763233184814,-0.13003645837306976,-0.26773664355278015,0.10821909457445145,-0.0072893062606453896,0.17342300713062286,-0.1976134032011032,-0.2293044775724411,-0.12248322367668152,-0.06447115540504456,-0.09860621392726898,0.08212640136480331,-0.006992150563746691,0.04738602042198181,-0.08760274946689606,-0.42129990458488464,-0.015136046335101128,0.027733225375413895,0.08947548270225525,-0.05802728980779648,0.0693829357624054,0.13160118460655212,-0.22866371273994446,0.04294601455330849,0.08639426529407501,0.07297352701425552,-0.0752042606472969,-0.15996290743350983,0.16289463639259338,-0.08238575607538223,-0.23771655559539795,-0.05292156711220741,0.12097083777189255,0.22938409447669983,0.24420736730098724,-0.00193416653200984,0.00024033524096012115,-0.10311488807201385,0.12764118611812592,-0.3429916501045227,0.014898434281349182,0.17168433964252472,-0.009995892643928528,0.10809413343667984,0.09583445638418198,-0.2039295732975006,0.020604874938726425,0.1350727528333664,-0.16235856711864471,0.05001010000705719,0.04094942286610603,-0.04393770545721054,0.041564300656318665,-0.15302155911922455,0.2919119596481323,0.07354014366865158,-0.1579534411430359,-0.20286627113819122,0.1534094512462616,-0.1769132912158966,-0.05965230241417885,0.05382993072271347,-0.09373129904270172,-0.10303252935409546,-0.28849291801452637,-0.029051005840301514,0.27688485383987427,0.10005392879247665,-0.16162779927253723,0.05191871151328087,-0.009800055995583534,-0.020910145714879036,-0.050499290227890015,0.10974770039319992,-0.11284871399402618,-0.05767190083861351,-0.08736729621887207,0.048745498061180115,0.29121842980384827,-0.037842459976673126,-0.01667146198451519,0.27853700518608093,-0.04440980404615402,-0.0032640723511576653,-0.008945967070758343,0.08777020871639252,-0.17593888938426971,-0.0037743388675153255,-0.18731459975242615,0.0008446881547570229,0.041631363332271576,0.011857060715556145,-0.020374378189444542,0.21748220920562744,-0.16412584483623505,0.20385727286338806,-0.08024541288614273,0.03686565160751343,-0.012012878432869911,-0.01603061333298683,-0.06187991425395012,-0.05795934423804283,0.16274040937423706,-0.24320393800735474,0.23559123277664185,0.1451876312494278,0.07788146287202835,0.11065736413002014,0.07095395773649216,-0.008129056543111801,0.05692719295620918,0.0030930442735552788,-0.11958480626344681,-0.07044977694749832,0.045479126274585724,-0.09085100889205933,-0.031043468043208122,0.09806357324123383
01354-WDAF-Susan_Hiland,-0.011505992151796818,0.08815212547779083,0.16367857158184052,-0.15929333865642548,-0.06348080188035965,0.02527811750769615,-0.08642711490392685,-0.0895858034491539,0.19778040051460266,-0.09030859917402267,0.14753024280071259,-0.105156309902668,-0.3359423279762268,0.024123113602399826,-0.03284257650375366,0.23743507266044617,-0.21185380220413208,-0.2159075289964676,-0.13920241594314575,-0.08621738851070404,-0.10997903347015381,0.16548661887645721,0.11069423705339432,0.006894534453749657,-0.15187551081180573,-0.3073999881744385,-0.08701964467763901,-0.0963779091835022,0.03862304612994194,-0.09924647212028503,0.08087556809186935,0.14109334349632263,-0.16022032499313354,0.0680987685918808,0.11168831586837769,0.09237756580114365,-0.04374929890036583,-0.14838191866874695,0.1949324905872345,-0.009903565049171448,-0.22533893585205078,-0.04328693822026253,0.12823475897312164,0.23511643707752228,0.28180593252182007,-0.04815222695469856,-0.02630690112709999,-0.09503719210624695,0.11027988791465759,-0.35797080397605896,0.027647480368614197,0.12840430438518524,-0.0047443937510252,0.1486266851425171,0.10426392406225204,-0.17949187755584717,0.07766389846801758,0.19522562623023987,-0.17217311263084412,0.07679158449172974,0.12096185982227325,-0.13669967651367188,0.002026829868555069,-0.018696341663599014,0.22912909090518951,0.06269681453704834,-0.1743791550397873,-0.24735607206821442,0.15620464086532593,-0.14773152768611908,-0.04199293628334999,0.17537353932857513,-0.10447888821363449,-0.04482732713222504,-0.23756787180900574,-0.08379294723272324,0.4038468301296234,0.013412974774837494,-0.16945448517799377,0.06120166927576065,-0.0845298245549202,-0.025486228987574577,-0.07490485161542892,0.057868797332048416,-0.06930208951234818,-0.12239877134561539,-0.13017538189888,-0.04145107418298721,0.3031303286552429,-0.05660770460963249,0.018624579533934593,0.2443673014640808,-0.040226325392723083,0.004571598023176193,0.02266581542789936,0.07134474813938141,-0.13818544149398804,-0.023782849311828613,-0.1511155068874359,-0.03225935250520706,-0.07519685477018356,-0.07223983854055405,-0.07555148750543594,0.10420707613229752,-0.15068551898002625,0.2729799151420593,0.016724713146686554,-0.023199884220957756,0.014241763390600681,0.01595631241798401,-0.044439833611249924,-0.0002955172676593065,0.2611273527145386,-0.31076565384864807,0.20415152609348297,0.14038357138633728,0.10508326441049576,0.09850886464118958,0.040078453719615936,0.15004803240299225,-0.04678885266184807,0.019068140536546707,-0.13783827424049377,-0.11364191770553589,0.0050025759264826775,-0.06902442127466202,-0.020677227526903152,0.08576822280883789
01355-WDAF-John_Holt,-0.06067637354135513,0.13647624850273132,-0.05400746315717697,-0.052402667701244354,-0.09926158934831619,0.04263515770435333,0.00734199583530426,-0.19249552488327026,0.07688036561012268,-0.05402866005897522,0.17738837003707886,-0.11864586174488068,-0.36038264632225037,-0.03141896799206734,-0.016332902014255524,0.1162816509604454,-0.21023502945899963,-0.08160794526338577,-0.2085646539926529,-0.18905077874660492,-0.05695868656039238,0.040360260754823685,0.053492479026317596,0.02989588864147663,-0.11944036185741425,-0.2328168898820877,-0.05559205636382103,-0.19719648361206055,0.06888069957494736,-0.14426012337207794,0.029233762994408607,-0.0425989106297493,-0.15731601417064667,-0.02622159942984581,0.003566330298781395,0.010574283078312874,-0.08045989274978638,-0.11651090532541275,0.23271921277046204,-0.0023135924711823463,-0.09681745618581772,-0.01650574430823326,0.029715362936258316,0.26707080006599426,0.17999166250228882,0.007797614671289921,0.03686199337244034,-0.11320455372333527,0.1894947588443756,-0.19237112998962402,0.09928008168935776,0.08840586245059967,0.16236694157123566,0.07854128628969193,0.05158967152237892,-0.2674057185649872,-0.010363667272031307,0.15642759203910828,-0.20592159032821655,0.10031850636005402,0.05653364956378937,-0.09058079123497009,-0.05092650651931763,-0.029968494549393654,0.19260896742343903,0.12117911130189896,-0.08587559312582016,-0.10891574621200562,0.2763878107070923,-0.1312004178762436,-0.012120605446398258,0.03926539421081543,-0.10366910696029663,-0.1659640073776245,-0.25098469853401184,0.02690158784389496,0.3697802722454071,0.08220812678337097,-0.1771436482667923,-0.10552288591861725,-0.053474027663469315,-0.046917110681533813,0.012307140976190567,0.08474565297365189,-0.13445940613746643,-0.06605738401412964,-0.06903684884309769,0.07773978263139725,0.20348694920539856,-0.12717366218566895,-0.05794299393892288,0.1942121386528015,-0.0037800800055265427,-0.08156634867191315,0.0602981336414814,0.04295796900987625,-0.17425456643104553,-0.006684897467494011,-0.07107608020305634,0.010235373862087727,0.07506243884563446,-0.22481511533260345,-0.005756000988185406,0.0635114312171936,-0.17716792225837708,0.19828251004219055,0.017561830580234528,-0.10043811798095703,-0.09724418818950653,-0.10728483647108078,-0.04630277305841446,0.06072590872645378,0.2977342903614044,-0.24940477311611176,0.2673238515853882,0.20382550358772278,0.038834284991025925,0.19616499543190002,-0.026594828814268112,0.0849456936120987,0.010168997570872307,-0.002902025356888771,-0.19087058305740356,-0.1417333334684372,0.03225906565785408,0.01750165969133377,0.011339012533426285,0.07221976667642593
01356-WDAF-Karli_Ritter,-0.02302207238972187,0.085838682949543,0.06069563701748848,-0.07873028516769409,-0.05798164755105972,-0.00790361873805523,-0.04899679124355316,-0.09296579658985138,0.21538059413433075,-0.12438567727804184,0.10833662748336792,-0.07594529539346695,-0.2997414469718933,0.017879577353596687,-0.02471899800002575,0.17493629455566406,-0.14760732650756836,-0.08258137851953506,-0.18425747752189636,-0.03246493265032768,0.04743298515677452,0.044419754296541214,0.04565161466598511,0.03493921458721161,-0.15039944648742676,-0.26827478408813477,-0.024722296744585037,-0.15338583290576935,-0.06378340721130371,-0.04272139072418213,0.017992116510868073,0.02857750840485096,-0.15207411348819733,-0.031689681112766266,0.10499496012926102,0.0368955135345459,-0.08381373435258865,-0.07788948714733124,0.1219336986541748,-0.11390110850334167,-0.18693770468235016,-0.04199656471610069,0.016454046592116356,0.13071005046367645,0.17765602469444275,0.05411553755402565,0.01726776733994484,-0.12028415501117706,0.15085703134536743,-0.33409059047698975,-0.00817619077861309,0.07080201804637909,0.044797904789447784,0.08374972641468048,0.10373969376087189,-0.21561801433563232,0.07650250196456909,0.17419280111789703,-0.22227135300636292,0.07001734524965286,0.06928928196430206,-0.15573859214782715,-0.10816793143749237,-0.03598819673061371,0.20631223917007446,0.048933256417512894,-0.22834783792495728,-0.16701290011405945,0.10273915529251099,-0.17767854034900665,0.0798182487487793,0.11334194242954254,-0.06594555824995041,-0.2084493488073349,-0.22027087211608887,-0.07796060293912888,0.404296338558197,0.10846827924251556,-0.1931755393743515,-0.02187005989253521,-0.15896546840667725,0.05744951218366623,-0.02622155472636223,0.04146317392587662,0.017682069912552834,-0.10709953308105469,-0.07045706361532211,-0.04889387637376785,0.1863802969455719,-0.14031225442886353,0.030250130221247673,0.27187877893447876,-0.03536523878574371,-0.04502183943986893,-0.1136954128742218,-0.012118056416511536,-0.16646835207939148,-0.01368768885731697,-0.010809055529534817,0.023011542856693268,-0.014868352562189102,-0.06694631278514862,-0.038746580481529236,0.040228601545095444,-0.20386503636837006,0.19010472297668457,-0.05852136015892029,0.018353678286075592,0.06138574704527855,-0.050396502017974854,-0.1373133808374405,-0.06615860760211945,0.20984463393688202,-0.32968735694885254,0.1660870760679245,0.19998116791248322,0.07040965557098389,0.15244367718696594,-0.01291746087372303,0.07287140935659409,0.044174764305353165,0.039879053831100464,-0.2350107729434967,-0.10613590478897095,0.060504019260406494,-0.05876977741718292,-0.06019682437181473,-0.032482974231243134
01357-WDAF-Mike_Thompson,-0.04496815428137779,0.06867511570453644,0.023400504142045975,0.007838772609829903,-0.0736875981092453,0.008344108238816261,0.01646224781870842,-0.11828618496656418,0.15040011703968048,-0.045251041650772095,0.171408548951149,-0.014597713947296143,-0.326221227645874,-0.0634184181690216,0.038498181849718094,0.09106999635696411,-0.16272039711475372,-0.015230149030685425,-0.20577682554721832,-0.09670921415090561,0.033044565469026566,0.049126263707876205,0.07445760071277618,-0.05591907724738121,-0.17638887465000153,-0.2676812410354614,-0.07619864493608475,-0.10252755135297775,0.07151877135038376,-0.03603601083159447,0.07326640188694,0.0768679827451706,-0.13888901472091675,-0.052115291357040405,0.0749584212899208,0.04019039496779442,0.006332057528197765,-0.09120918810367584,0.21286915242671967,-0.09963424503803253,-0.104145847260952,-0.03850488364696503,0.06468681991100311,0.10020704567432404,0.21784357726573944,-0.011061985976994038,-0.0007167533040046692,-0.10002552717924118,0.08850684016942978,-0.2917681038379669,0.06013233959674835,0.08890728652477264,0.042970169335603714,0.07014588266611099,0.12361352145671844,-0.13654188811779022,0.0253526009619236,0.17790545523166656,-0.21457043290138245,0.08355942368507385,0.07211007922887802,-0.17216527462005615,-0.14047710597515106,-0.013273820281028748,0.06024199351668358,0.1096455305814743,-0.10511314123868942,-0.12060369551181793,0.14439657330513,-0.2039954960346222,-0.005378118250519037,0.051339078694581985,-0.057407256215810776,-0.15997536480426788,-0.2822408974170685,-0.0037981681525707245,0.47288432717323303,0.18566153943538666,-0.22673669457435608,-0.029829446226358414,-0.013192322105169296,-0.051019053906202316,0.11002054810523987,0.029708892107009888,-0.07791979610919952,-0.16195760667324066,-0.06307625025510788,0.08441349118947983,0.18199089169502258,-0.012469064444303513,-0.01736324653029442,0.27631473541259766,0.007073326036334038,0.011503027752041817,0.019617756828665733,-0.002429178450256586,-0.05098746716976166,-0.07784339785575867,-0.06866034865379333,0.0007181800901889801,0.13790728151798248,-0.13885369896888733,0.03935123234987259,0.08567749708890915,-0.1157112866640091,0.131196066737175,-0.018789945170283318,-0.032680436968803406,0.11414668709039688,-0.08032935857772827,-0.08589114248752594,0.03286181390285492,0.2513008415699005,-0.20505288243293762,0.1960945874452591,0.14086227118968964,-0.05970090627670288,0.13180693984031677,0.02404680848121643,0.1508450210094452,0.029048167169094086,0.009743867442011833,-0.16762125492095947,-0.11334674060344696,0.004481801763176918,-0.046505726873874664,0.046537578105926514,-0.01085225772112608
01358-WDAF-Phil_Witt,-0.07959358394145966,0.1044674813747406,0.09480733424425125,-0.03986934944987297,-0.057235050946474075,0.01193602941930294,0.013170916587114334,-0.1272197961807251,0.18812313675880432,-0.11969136446714401,0.22348515689373016,-0.02851945161819458,-0.335199236869812,0.0076346262358129025,-0.11749225854873657,0.0712151825428009,-0.11007088422775269,-0.06744780391454697,-0.13956791162490845,-0.11862915754318237,0.09166672080755234,0.11823471635580063,-0.07043621689081192,0.022797584533691406,-0.08005870133638382,-0.16048814356327057,-0.08030708134174347,-0.06699858605861664,0.1217590719461441,-0.06739989668130875,-0.05406307429075241,0.08005624264478683,-0.11898855865001678,-0.14663124084472656,0.04411875084042549,0.002247694879770279,0.0030281427316367626,-0.04422888159751892,0.20383179187774658,-0.02381116896867752,-0.15083062648773193,-0.04113362729549408,0.023475274443626404,0.26136693358421326,0.19103948771953583,0.013198483735322952,-0.053867340087890625,-0.08925219625234604,0.11583369225263596,-0.26657307147979736,0.04237903282046318,0.16594062745571136,0.2231757789850235,0.06785295903682709,0.1376475989818573,-0.2600247859954834,-0.045330554246902466,0.1540493369102478,-0.126994788646698,0.10879132151603699,-0.0030079828575253487,-0.15592515468597412,0.004583269357681274,-0.0646599680185318,0.020102186128497124,-0.021279990673065186,-0.08273822069168091,-0.13511726260185242,0.2326146364212036,-0.13820230960845947,-0.03445446118712425,0.16348479688167572,-0.09865914285182953,-0.16579805314540863,-0.23269528150558472,0.004392657428979874,0.45335471630096436,0.20030377805233002,-0.22318314015865326,0.008499459363520145,-0.041766878217458725,-0.07949783653020859,0.08672410994768143,0.03672979399561882,-0.04021136090159416,-0.058680761605501175,-0.056562986224889755,0.013782302848994732,0.15135155618190765,-0.01848740130662918,-0.07948026806116104,0.2296796441078186,-0.009602906182408333,-0.0012857550755143166,0.03698858618736267,0.04528292268514633,-0.09116445481777191,-0.019757699221372604,-0.12290233373641968,-0.032088134437799454,0.07881172001361847,-0.10171490162611008,-0.0017376383766531944,0.12679718434810638,-0.15732687711715698,0.15477460622787476,-0.0055677867494523525,0.0002547362819314003,-0.03356225788593292,-0.08365112543106079,-0.07806174457073212,0.10588096082210541,0.2771574556827545,-0.22569015622138977,0.1622435748577118,0.15756474435329437,-0.03981119766831398,0.12305958569049835,0.04380982369184494,0.0033180732280015945,0.077566958963871,-0.0926833227276802,-0.18066632747650146,-0.193970188498497,0.07285608351230621,-0.11579418182373047,0.06623168289661407,-0.011591911315917969
01359-WDIV-Andrew_Humphrey,-0.13025309145450592,0.0978071540594101,0.026213373988866806,0.035110387951135635,-0.04972001910209656,-0.032108914107084274,-0.01671721413731575,-0.10198162496089935,0.17388838529586792,-0.014897985383868217,0.15351366996765137,0.0391928032040596,-0.09755803644657135,-0.10765476524829865,-0.0023710401728749275,0.08117534220218658,-0.1463342308998108,-0.13820239901542664,-0.05932561680674553,-0.10085169225931168,0.014803629368543625,0.05651812627911568,0.0572519451379776,-0.02249157987535,-0.182936429977417,-0.33124351501464844,-0.07089225202798843,-0.13587196171283722,0.048887915909290314,-0.06500266492366791,0.019368331879377365,0.08380476385354996,-0.20355655252933502,-0.03228231891989708,0.0306025929749012,0.07487435638904572,0.09875789284706116,0.061222679913043976,0.13761088252067566,0.08929825574159622,-0.12619516253471375,0.053273484110832214,0.00606585294008255,0.2770039141178131,0.14678891003131866,0.06254097074270248,-0.001080922782421112,-0.09121403843164444,0.0033390254247933626,-0.1529340147972107,0.09994572401046753,0.17583274841308594,0.06155639886856079,-0.025644227862358093,0.05001063644886017,-0.12428803741931915,0.008266182616353035,-0.03874192386865616,-0.17795395851135254,0.03607400879263878,0.12897010147571564,0.02941492386162281,-0.10605210065841675,0.014135727658867836,0.18931441009044647,0.11079218983650208,-0.055623892694711685,-0.08002199977636337,0.1594627946615219,-0.08579657971858978,-0.005983942653983831,-0.04152035713195801,-0.0943056046962738,-0.16912393271923065,-0.18139170110225677,0.10367947071790695,0.41640016436576843,0.08528664708137512,-0.2306910753250122,0.08044470846652985,-0.1723780632019043,0.006005840376019478,0.08843763172626495,-0.022986406460404396,-0.10273106396198273,-0.02304418385028839,-0.07471819221973419,0.05251017212867737,0.143574059009552,0.022069426253437996,0.007144971750676632,0.15695370733737946,0.004424650222063065,-0.031026948243379593,0.05669423192739487,-0.01118649635463953,-0.06381725519895554,0.06022949516773224,-0.13127553462982178,-0.029392320662736893,0.06528475880622864,-0.098301000893116,0.005830375012010336,0.08199933916330338,-0.22864051163196564,0.11861880868673325,0.07829407602548599,-0.10275615006685257,0.05350258946418762,0.07705626636743546,-0.12811921536922455,-0.08007865399122238,0.1504243016242981,-0.22368162870407104,0.2678779065608978,0.1658705323934555,-0.010263990610837936,0.197322279214859,0.08150086551904678,0.15398211777210236,0.009881189092993736,0.036873698234558105,-0.09122195094823837,-0.06968040019273758,0.010289272293448448,-0.043956026434898376,-0.027927400544285774,0.06794997304677963
01360-WESH-Syan_Rhodes,-0.1037074476480484,-0.00907485093921423,0.0688692182302475,-0.09794405847787857,-0.05541244149208069,-0.011685500852763653,0.005353610031306744,-0.17810146510601044,0.1295231729745865,-0.15084561705589294,0.20538315176963806,-0.12411035597324371,-0.23853756487369537,-0.11930347234010696,-0.029750321060419083,0.23408837616443634,-0.16586484014987946,-0.20918507874011993,-0.06846004724502563,-0.04945401847362518,0.033643048256635666,-0.011996464803814888,0.028220416978001595,0.14340786635875702,-0.1622573286294937,-0.34089919924736023,-0.12505607306957245,-0.16961726546287537,0.015451713465154171,-0.042580652981996536,0.07476669549942017,0.09628298878669739,-0.23431578278541565,0.03214710205793381,0.022658100351691246,0.03989069163799286,0.09141426533460617,-0.09601866453886032,0.09677588194608688,-0.04333951324224472,-0.21434052288532257,-0.12411124259233475,0.08896764367818832,0.1850339025259018,0.19235347211360931,-0.03333029896020889,0.011336253955960274,-0.05350254476070404,0.04569818824529648,-0.21128784120082855,-0.040236230939626694,0.023089174181222916,0.10656710714101791,0.014935719780623913,0.011670547537505627,-0.14652463793754578,0.04172317683696747,0.05812973529100418,-0.19525648653507233,0.014188485220074654,0.015878800302743912,-0.06073296442627907,-0.12388275563716888,-0.02708953246474266,0.24414901435375214,0.05028541758656502,-0.19699521362781525,-0.15145862102508545,0.21107028424739838,-0.18604077398777008,0.04521212726831436,0.07023448497056961,-0.15273258090019226,-0.11569388955831528,-0.2904267907142639,-0.05544734001159668,0.43333786725997925,0.04486262798309326,-0.27048856019973755,0.01645561307668686,-0.1304168999195099,0.09388982504606247,0.0033748005516827106,0.0863136574625969,-0.0009667165577411652,-0.017475945875048637,-0.10749218612909317,-0.01642255298793316,0.15300600230693817,-0.07318427413702011,0.02778688259422779,0.24074387550354004,-0.05832521989941597,-0.05253630876541138,0.024436213076114655,0.056678760796785355,-0.09224074333906174,-0.026115499436855316,-0.09420362859964371,-0.027355816215276718,-0.025568751618266106,0.025125689804553986,-0.02624555304646492,0.10369817912578583,-0.1455283910036087,0.15291906893253326,0.01601986400783062,-0.03787073493003845,0.04176611825823784,0.053068555891513824,-0.1485784649848938,-0.14987649023532867,0.15084733068943024,-0.21916303038597107,0.05060848966240883,0.1745002418756485,0.005994798149913549,0.1124015599489212,0.03733251243829727,0.16266432404518127,-0.05161752179265022,0.002867484465241432,-0.1556745320558548,-0.04554855078458786,0.09751852601766586,-0.13643647730350494,-0.03407827019691467,-0.06096554175019264
01361-WFLD-Robin_Robinson,-0.10514320433139801,0.09415626525878906,0.06188763305544853,-0.08916112035512924,0.007089806254953146,-0.015949396416544914,0.021275091916322708,-0.16698391735553741,0.24611806869506836,-0.14786747097969055,0.1621619611978531,-0.03675203025341034,-0.19709941744804382,-0.0027142995968461037,-0.020051749423146248,0.11982657015323639,-0.15014943480491638,-0.2384265959262848,-0.10284500569105148,-0.08193858712911606,0.05163521692156792,-0.04916801303625107,-0.018812311813235283,0.10247541964054108,-0.20309239625930786,-0.31171903014183044,-0.08656024932861328,-0.14889143407344818,0.06498920172452927,-0.04214368760585785,0.013711671344935894,0.0321209579706192,-0.29594531655311584,0.0062463898211717606,0.06382481753826141,0.0761091411113739,0.024440940469503403,-0.03558729961514473,0.1576264649629593,0.008248724974691868,-0.20890307426452637,-0.11321869492530823,0.07640542834997177,0.1624011993408203,0.23864081501960754,-0.029741337522864342,-0.018346328288316727,-0.09832590073347092,0.1196800172328949,-0.19407784938812256,-5.200505256652832e-05,0.12526631355285645,0.1212427020072937,0.12025296688079834,0.050962433218955994,-0.2614726126194,0.019233914092183113,0.05448701232671738,-0.18228040635585785,0.03389294072985649,0.0006000092253088951,-0.10072340071201324,-0.19174319505691528,0.015782825648784637,0.23256807029247284,0.07330062985420227,-0.2012615203857422,-0.17749422788619995,0.23554836213588715,-0.13855502009391785,0.0936443880200386,0.09292160719633102,-0.12395066022872925,-0.1548665463924408,-0.19126437604427338,0.011405804194509983,0.42292433977127075,0.052066825330257416,-0.23142074048519135,0.08584078401327133,-0.1638297587633133,0.0349479503929615,-0.054374225437641144,0.08972672373056412,-0.07968796044588089,0.0818401500582695,-0.027327461168169975,0.041559986770153046,0.1262911707162857,0.005633816123008728,0.017974667251110077,0.20169930160045624,-0.1427149474620819,0.01803405210375786,0.023513413965702057,0.06140507385134697,-0.18678657710552216,-0.04595686495304108,-0.1592950075864792,-0.12363243848085403,0.018323589116334915,0.005456515122205019,-0.03978455066680908,0.10527625679969788,-0.21881695091724396,0.1613215208053589,0.014883437193930149,-0.026620272547006607,-0.010451752692461014,-0.0064926003105938435,-0.09900358319282532,-0.06625344604253769,0.14205396175384521,-0.2812286913394928,0.18979546427726746,0.1498827040195465,-0.008580794557929039,0.144668847322464,0.08322148025035858,0.03505339473485947,0.06041073054075241,0.012407459318637848,-0.18307872116565704,-0.029737964272499084,0.059245750308036804,-0.10497021675109863,-0.026472527533769608,-0.08461617678403854
01362-WFLD-Bob_Sirott,0.018256012350320816,0.04517054930329323,-0.0046403417363762856,-0.12021093815565109,-0.062432561069726944,0.07827906310558319,0.0037555433809757233,-0.16142328083515167,0.1940162479877472,-0.17268767952919006,0.13037247955799103,0.028357751667499542,-0.3500741422176361,-0.11742347478866577,0.04592382162809372,0.07412078231573105,-0.11489275097846985,-0.16111837327480316,-0.1497209072113037,-0.1477593332529068,-0.027526037767529488,0.08030768483877182,0.03309863433241844,-0.04167000949382782,-0.16020752489566803,-0.12782275676727295,-0.1059628278017044,-0.1499820351600647,0.07387645542621613,-0.06509095430374146,0.01749025285243988,0.047590892761945724,-0.19170519709587097,-0.0551023855805397,0.014858911745250225,0.06289809197187424,-0.05981442332267761,-0.03724169731140137,0.18008220195770264,-0.0036622807383537292,-0.07772550731897354,-0.029176784679293633,0.01622050628066063,0.18778066337108612,0.19735419750213623,0.008543459698557854,-0.027843041345477104,-0.06635984778404236,0.14451391994953156,-0.3094189167022705,0.1530960202217102,0.08745377510786057,0.1547466367483139,0.09800058603286743,0.11764468252658844,-0.24632714688777924,0.05446344614028931,0.1635400652885437,-0.2114860862493515,0.21977074444293976,0.0774848461151123,-0.19961819052696228,-0.08550488948822021,0.022646596655249596,0.1323235183954239,0.046104736626148224,-0.07604565471410751,-0.14334909617900848,0.24749556183815002,-0.1534225046634674,-0.03054434061050415,0.09362497925758362,-0.09507226943969727,-0.14190839231014252,-0.22580674290657043,0.04870759695768356,0.40268558263778687,0.20948949456214905,-0.17087703943252563,0.03428865969181061,-0.0419258214533329,-0.03182996064424515,0.04728099703788757,0.017332550138235092,-0.0336182676255703,-0.12482915818691254,-0.08674006909132004,0.05164681375026703,0.18506412208080292,-0.08932419866323471,-0.018954018130898476,0.28860509395599365,-0.01679953932762146,0.033122021704912186,0.021443966776132584,-0.027060862630605698,-0.06472530961036682,-0.020233917981386185,-0.09471333771944046,0.010691734030842781,0.052919674664735794,-0.1998862475156784,0.014108019880950451,0.06079460680484772,-0.09705653041601181,0.18786120414733887,-0.0012384080328047276,-0.033382292836904526,-0.021481655538082123,-0.07215234637260437,-0.10642634332180023,0.02405680902302265,0.26001837849617004,-0.2596398591995239,0.2604982554912567,0.17019888758659363,0.02897394821047783,0.15463335812091827,0.045571789145469666,0.13530629873275757,0.07547832280397415,-0.055360328406095505,-0.2052181512117386,-0.14678528904914856,0.027881914749741554,-0.03982553631067276,0.022432001307606697,0.11818183213472366
