,Recall,PositiveRating,PerformanceRatio,Impact
,0.495075219443217,0.460581658870331,1.65,23
,0.391459615897502,0.529647908725214,2.62,21
,0.35466869364826,0.69884883579273,7.32,25
,0.592529573561903,0.63511887180412,5.91,38
,0.43198018464501,0.51907204838233,3.03,22
,0.418600523786206,0.490953688930446,3.12,21
,0.802859082459745,0.717291252986648,7.30,58
,0.736043339340006,0.774317093495744,14.76,57
,0.698482123811124,0.639037509141755,5.92,45
,0.727056976910529,0.697086794549621,7.93,51
,0.783052389167039,0.655782864366986,5.29,51
,0.589514821005791,0.702072117297952,5.91,41
,0.403704390372292,0.502189513212351,2.97,20
,0.213686011415989,0.51399809623406,2.75,11
,0.501022299175517,0.483599268751161,1.91,24
,0.594072973737805,0.565094139200172,3.41,34
,0.204388343616252,0.56583602867495,3.96,12
,0.323691737251207,0.50574811337,3.26,16
,0.614405427324221,0.540138353343083,2.44,33
,0.166651116557142,0.493350334998838,2.01,8
,0.514151950793449,0.481350444751871,2.24,25
,0.200545177463056,0.486819744845769,2.26,10
,0.697967917410879,0.627180876973253,5.03,44
,0.816666666666667,0.518367346938776,1.81,42
,0.746666666666667,0.446428571428571,1.54,33
,0.74,0.536036036036036,3.22,40
,0.423333333333333,0.338582677165354,1.10,14
,0.826666666666667,0.55241935483871,2.14,46
,0.394658753709199,0.548872180451128,4.56,22
,0.28486646884273,0.5,4.36,14
,0.874045801526718,0.65938864628821,5.39,58
,0.83206106870229,0.653669724770642,4.45,54
,0.797709923664122,0.700956937799043,5.98,56
,0.236641221374046,0.532258064516129,2.54,13
,0.774480712166172,0.613026819923372,5.33,47
,0.648278606207315,0.668247474872442,4.67,43
,0.778484978713996,0.723074598163209,5.24,56
,0.519506087035998,0.60717187824628,2.79,32
,0.665645937678973,0.700310356631592,8.00,47
,0.703108251643067,0.655872241116178,5.67,46
,0.445615531689655,0.611782040379039,4.41,27
,0.668621616440968,0.67708185946777,5.66,45
,0.67610716187207,0.606346798795955,4.43,41
,0.669855622388937,0.729986925859532,5.14,49
,0.631653184522837,0.589003426227377,4.08,37
,0.535793704448811,0.527905357864052,3.15,28
,0.376416535050262,0.555380546215082,3.88,21
,0.318507360528138,0.6079301777555,4.58,19
,0.416895298379788,0.604409509159581,4.41,25
,0.745938214777555,0.560105593152076,2.73,42
,0.797809584187713,0.497255427156152,2.07,40
,0.643455511992793,0.541706483041348,3.81,35
,0.652776709370169,0.708267466727507,6.98,46
,0.180872809974691,0.371056602239277,1.14,7
,0.419206150132484,0.572268367353317,4.41,24
,0.294403587408104,0.487425519369014,2.11,14
,0.499053490858463,0.528915230852904,2.46,26
,0.187670579033933,0.416111034114154,1.61,8
,0.069673852701038,0.299583725204817,0.72,2
,0.215795695484593,0.458393059254177,2.47,10
,0.199492700791251,0.398763417730193,1.86,8
,0.160273318367128,0.604780957998425,3.14,10
,0.234175825685819,0.513389726586396,2.99,12
,0.562699311052244,0.533886993914135,2.42,30
,0.521598582358878,0.536740664983985,4.02,28
,0.397382573532053,0.58743061556827,5.87,23
,0.379176829993147,0.540191237078123,1.98,20
,0.373496762621714,0.478658287461671,2.36,18
,0.33458712105646,0.490993694504727,1.99,16
,0.344474735946352,0.546458455636231,2.81,19
,0.681297709923664,0.621848739495798,3.89,42
,0.893129770992366,0.658119658119658,4.34,59
,0.791984732824428,0.6,4.15,48
,0.776717557251908,0.619164619164619,4.34,48
,0.713740458015267,0.558823529411765,2.90,40
,0.704198473282443,0.577235772357724,4.18,41
,0.677480916030534,0.709859154929577,5.73,48
,0.950769230769231,0.637540453074434,5.47,61
,0.858461538461538,0.620071684587814,4.33,53
,0.593610595168537,0.693233875418462,15.96,41
,0.607338715061921,0.518422505727813,2.74,31
,0.497057814921193,0.573222286351425,3.74,28
,0.802178049414471,0.602448107598227,4.30,48
,0.754022255303171,0.582879777397014,3.96,44
,0.346798180079356,0.543450934531414,2.86,19
,0.478305449522212,0.612232662843094,4.94,29
,0.767404836471414,0.656327136385527,6.76,50
,0.659610429786959,0.607332010859832,3.63,40
,0.538021072202486,0.509373368120565,3.55,27
,0.467152300235517,0.557485654931189,4.95,26
,0.501486183638853,0.632093929204423,5.10,32
,0.553082375897981,0.545761355992186,3.13,30
,0.64462171067992,0.67189730519856,4.41,43
,0.582403337304471,0.443017428714951,1.32,26
,0.873828328667643,0.730147931939829,7.95,64
,0.754154492835618,0.640865186166921,5.43,48
,0.697795704240652,0.680463498060444,6.25,47
,0.620878290036073,0.712518198021061,9.06,44
,0.813406696939172,0.710897334429702,7.11,58
,0.706740711616857,0.691997964411361,6.62,49
,0.850553846603519,0.699614251332576,7.33,60
,0.813366997106019,0.796829207940269,13.01,65
,0.682957411048788,0.629926443322142,5.64,43
,0.736893883670318,0.685990091183745,6.94,51
,0.546183929985129,0.644261370551258,4.48,35
,0.833099823579159,0.731802298040322,7.08,61
,0.576478868281558,0.614876056947214,4.70,35
,0.80243358479245,0.635934142592827,3.16,51
,0.602704659504839,0.593480707998433,3.00,36
,0.823707324488251,0.812044630834732,13.78,67
,0.422376813192944,0.58229062330331,3.99,25
,0.714122209840022,0.593011915730921,4.59,42
,0.734444383541626,0.690075314622925,6.16,51
,0.588943734337317,0.561589705341104,5.36,33
,0.732968802715335,0.594841042645838,4.20,44
,0.717962532383341,0.615353970501276,6.93,44
,0.594769724691782,0.567475766724306,5.07,34
,0.722433189704898,0.648834076501963,6.73,47
,0.819901236750997,0.563510196015764,4.04,46
,0.559700651403823,0.66848071147123,10.48,37
,0.884688994125699,0.688869709290872,5.10,61
,0.897858880645293,0.686937674675763,5.00,62
,0.868228532464386,0.712233046696985,8.19,62
,0.820502008122763,0.723501534428941,7.10,59
,0.782139865483212,0.497381153075559,1.99,39
,0.704797882541208,0.65311126207644,4.81,46
,0.664038228211829,0.586206855837834,3.41,39
,0.656848459956765,0.595774480634802,3.53,39
,0.334464358927862,0.534352105144005,3.50,18
,0.881492581345346,0.765432030423322,7.31,67
,0.771474749507598,0.567775793055835,3.34,44
,0.726519999129817,0.560492847232023,2.92,41
,0.853402243739331,0.723425424631318,6.48,62
,0.729449984636333,0.577621327145343,2.39,42
,0.35960354593288,0.510285393576803,5.48,18
,0.703230528652462,0.57815409387424,3.72,41
,0.44451673334325,0.593017863089665,3.90,26
,0.866195154750022,0.71217994262503,5.89,62
